1,100,0,0,0,0,0
2,99,1,0,0,0,0
3,97,3,0,0,0,0
4,95,5,0,0,0,0
5,90,9,1,0,0,0
6,89,10,1,0,0,0
7,87,12,1,0,0,0
8,86,13,1,0,0,0
9,86,13,1,0,0,0
10,77,20,3,0,0,0
11,72,25,3,0,0,0
12,72,25,3,0,0,0
13,72,25,3,0,0,0
14,72,25,3,0,0,0
15,60,35,5,0,0,0
16,58,37,5,0,0,0
17,56,39,5,0,0,0
18,54,41,5,0,0,0
19,52,43,5,0,0,0
20,42,43,12,3,0,0
21,40,45,12,3,0,0
22,39,46,12,3,0,0
23,37,48,12,3,0,0
24,35,50,12,3,0,0
25,32,33,25,10,0,0
26,30,35,25,10,0,0
27,28,37,25,10,0,0
28,27,38,25,10,0,0
29,26,39,25,10,0,0
30,15,25,40,15,5,0
31,12,20,48,15,5,0
32,11,20,47,17,5,0
33,10,20,45,20,5,0
34,8,20,40,27,5,0
35,7,15,30,35,7,0
36,7,15,28,43,7,0
37,7,15,26,45,7,0
38,7,15,24,45,9,0
39,7,15,22,42,14,0
40,5,15,20,39,20,1
41,4,10,17,37,27,5
42,3,10,11,29,40,7
43,2,8,9,25,38,18
44,1,7,8,20,35,29
45,0,5,5,10,25,55
46,0,2,3,8,20,67
47,0,1,2,5,15,77
48,0,0,1,5,15,79
49,0,0,0,3,15,82
50,0,0,0,2,15,83
