1,0
2,25
3,50
4,125
5,225
6,400
7,500
8,650
9,800
10,1000
11,2250
12,2500
13,2750
14,8000
15,10000
16,12000
17,15000
18,18000
19,21000
20,25000
21,32000
22,45000
23,75000
24,125000
25,175000
26,200000
27,235000
28,275000
29,320000
30,400000
31,600000
32,900000
33,1000400000
34,2000500000
35,4000000000
36,4000750000
37,6000000000
38,7000000000
39,8000000000
40,10000000000
41,15000000000
42,25000000000
43,45000000000
44,70000000000
45,100000000000
46,120000000000
47,150000000000
48,170000000000
49,200000000000
50,250000000000
